t,level,bass,mid,treble,flux,argmax
2.70512,0.03278,0.0012,0.2552,0.0000,0.00091,20
2.71673,0.03915,0.0724,0.3012,0.2084,0.12705,20
2.72834,0.04223,0.1779,0.3487,0.3532,0.10442,20
2.73995,0.04370,0.2246,0.3771,0.4255,0.05255,20
2.75156,0.04522,0.2364,0.3869,0.4594,0.02207,20
2.76317,0.04537,0.2178,0.3798,0.4663,0.00544,19
2.77478,0.04570,0.1612,0.3763,0.4523,0.00223,20
2.78639,0.04511,0.0976,0.3626,0.4276,0.00144,19
2.798,0.04502,0.0587,0.3435,0.3947,0.00030,20
2.80961,0.03923,0.0480,0.3225,0.3595,0.00064,19
2.82122,0.03607,0.0227,0.3170,0.3251,0.00175,20
2.83283,0.03313,0.0190,0.3154,0.2940,0.00379,19
2.84444,0.03243,0.0042,0.3015,0.2568,0.00058,20
2.85605,0.03119,0.0063,0.2883,0.2071,0.00172,19
2.86766,0.03196,0.0000,0.2580,0.1375,0.00028,20
2.87927,0.03120,0.0025,0.2593,0.0454,0.00438,19
2.89088,0.03157,0.0003,0.2529,0.0000,0.00083,20
2.90249,0.03018,0.0017,0.2578,0.0000,0.00277,19
2.9141,0.03143,0.0000,0.2512,0.0000,0.00065,20
2.92571,0.03127,0.0029,0.2596,0.0000,0.00429,19
2.93732,0.03166,0.0004,0.2528,0.0000,0.00040,20
2.94893,0.03055,0.0022,0.2574,0.0000,0.00277,20
2.96054,0.03636,0.0236,0.2669,0.0789,0.04613,20
2.97215,0.04171,0.1833,0.3470,0.2961,0.15984,20
2.98376,0.04428,0.2557,0.3853,0.3954,0.07475,20
2.99537,0.04490,0.2846,0.4067,0.4436,0.03547,20
3.00698,0.04560,0.2830,0.4125,0.4629,0.01185,20
3.01859,0.04567,0.2484,0.4064,0.4604,0.00166,20
3.0302,0.04608,0.1584,0.3818,0.4400,0.00020,20
3.04181,0.04626,0.0532,0.3577,0.4095,0.00012,20
3.05342,0.04216,0.0327,0.3448,0.3775,0.00195,20
3.06503,0.03680,0.0251,0.3292,0.3456,0.00089,20
3.07664,0.03366,0.0181,0.3272,0.3155,0.00211,20
3.08825,0.03322,0.0206,0.3107,0.2829,0.00171,20
3.09986,0.03205,0.0236,0.2961,0.2417,0.00209,20
3.11147,0.03158,0.0089,0.2726,0.1853,0.00086,20
3.12308,0.03058,0.0040,0.2580,0.1027,0.00126,20
3.13469,0.03162,0.0002,0.2540,0.0091,0.00081,20
3.1463,0.03134,0.0039,0.2595,0.0000,0.00330,19
3.15791,0.03157,0.0000,0.2505,0.0000,0.00048,20
3.16952,0.03059,0.0030,0.2590,0.0000,0.00402,19
3.18113,0.03138,0.0004,0.2536,0.0000,0.00046,20
3.19274,0.03079,0.0022,0.2591,0.0000,0.00282,19
3.20435,0.03308,0.0000,0.2492,0.0000,0.00033,20
3.21596,0.03894,0.0064,0.2801,0.2219,0.11632,19
3.22757,0.04262,0.0076,0.3319,0.3589,0.08419,20
3.23918,0.04375,0.0320,0.3683,0.4279,0.04993,19
3.25079,0.04535,0.0436,0.3885,0.4601,0.02526,20
3.2624,0.04552,0.0748,0.3946,0.4672,0.01305,19
3.27401,0.04588,0.0760,0.3921,0.4567,0.00357,20
3.28562,0.04523,0.0745,0.3736,0.4299,0.00167,20
3.29723,0.04485,0.0630,0.3550,0.3977,0.00250,20
3.30884,0.03923,0.0545,0.3454,0.3627,0.00139,20
3.32045,0.03608,0.0437,0.3325,0.3314,0.00049,20
3.33206,0.03276,0.0216,0.3161,0.3014,0.00094,19
3.34367,0.03211,0.0166,0.3005,0.2665,0.00143,20
3.35528,0.03163,0.0209,0.2875,0.2229,0.00200,20
3.36689,0.03173,0.0060,0.2651,0.1566,0.00009,20
3.3785,0.03132,0.0020,0.2560,0.0564,0.00047,20
3.39011,0.03098,0.0014,0.2571,0.0000,0.00068,20
3.40172,0.03109,0.0012,0.2566,0.0000,0.00014,20
3.41333,0.03092,0.0010,0.2559,0.0000,0.00015,20
3.42494,0.03162,0.0007,0.2532,0.0000,0.00043,20
3.43655,0.03126,0.0023,0.2590,0.0000,0.00239,20
3.44816,0.03106,0.0003,0.2536,0.0000,0.00058,20
3.45977,0.03543,0.0016,0.2567,0.0602,0.02982,20
3.47138,0.04122,0.0036,0.2834,0.2754,0.11321,20
3.48299,0.04349,0.0275,0.3321,0.3838,0.07248,19
3.4946,0.04454,0.0840,0.3621,0.4357,0.04539,20
3.50621,0.04436,0.1285,0.3746,0.4601,0.02483,19
3.51782,0.04549,0.1463,0.3767,0.4616,0.00801,20
3.52943,0.04532,0.1312,0.3665,0.4461,0.00110,19
3.54104,0.04586,0.0785,0.3517,0.4175,0.00059,20
3.55265,0.04139,0.0499,0.3522,0.3855,0.00510,19
3.56426,0.03730,0.0257,0.3276,0.3541,0.00046,20
3.57587,0.03386,0.0190,0.3208,0.3227,0.00332,19
3.58748,0.03335,0.0047,0.3017,0.2862,0.00028,20
3.59909,0.03199,0.0088,0.2952,0.2454,0.00323,19
3.6107,0.03187,0.0002,0.2740,0.1909,0.00074,20
3.62231,0.03063,0.0017,0.2602,0.1082,0.00171,19
3.63392,0.03149,0.0002,0.2511,0.0160,0.00030,20
3.64553,0.03128,0.0021,0.2585,0.0000,0.00363,19
3.65714,0.03163,0.0005,0.2544,0.0000,0.00061,20
3.66875,0.03042,0.0009,0.2563,0.0000,0.00164,20
